franchise,season,era,games,wins,losses,ties,record,explosive_per_game,explosive_allowed_per_game,explosive_diff_per_game,explosive_rate_per_play,turnover_diff_per_game,points_per_game,margin_per_game,bayes_rating_z,won_super_bowl,reached_super_bowl
PHI,2013,2008-2016,16,10,6,0,10-6-0,9.625,6.25,3.375,0.14807692307692308,-0.75,27.625,3.75,0.3098275868149977,False,False
PHI,2011,2008-2016,16,8,8,0,8-8-0,9.0625,6.6875,2.375,0.14257620452310718,0.875,24.75,4.25,0.8099167961920243,False,False
BAL,2019,2017-2025,16,14,2,0,14-2-0,8.875,5.125,3.75,0.1362763915547025,-0.625,33.1875,15.5625,1.8996067248548525,False,False
WSH,2012,2008-2016,16,10,6,0,10-6-0,8.8125,6.0625,2.75,0.14343845371312308,-1.0625,27.25,3.0,0.4751928865044245,False,False
SF,2023,2017-2025,17,12,5,0,12-5-0,8.764705882352942,4.9411764705882355,3.823529411764706,0.1495983935742972,-0.5882352941176471,28.88235294117647,11.352941176470589,1.9441991629091229,False,True
CAR,2011,2008-2016,16,6,10,0,6-10-0,8.75,6.8125,1.9375,0.1417004048582996,-0.0625,25.375,-1.4375,-0.3198829109668935,False,False
SEA,2014,2008-2016,16,12,4,0,12-4-0,8.5625,3.875,4.6875,0.13672654690618763,-0.5,24.625,8.75,1.5621814702478376,False,True
BAL,2024,2017-2025,17,12,5,0,12-5-0,8.470588235294118,4.882352941176471,3.588235294117647,0.13859480269489893,-0.35294117647058826,30.470588235294116,9.235294117647058,1.683685680454067,False,False
SF,2012,2008-2016,16,11,4,1,11-4-1,8.4375,4.25,4.1875,0.14150943396226415,-0.5625,24.8125,7.75,1.3512536830358128,False,True
LAR,2000,1999-2007,16,10,6,0,10-6-0,8.375,6.8125,1.5625,0.13254203758654798,0.625,33.75,4.3125,0.5249672455178491,False,False
PHI,2010,2008-2016,16,10,6,0,10-6-0,8.375,6.8125,1.5625,0.13124387855044076,-0.625,27.4375,3.875,0.6645217355354222,False,False
PIT,2001,1999-2007,16,13,3,0,13-3-0,8.375,4.6875,3.6875,0.12582159624413145,-0.4375,22.0,8.75,1.3629969917968636,False,False
LAR,2018,2017-2025,16,13,3,0,13-3-0,8.3125,7.375,0.9375,0.12751677852348994,-0.6875,32.9375,8.9375,1.521253592194913,False,True
KC,2018,2017-2025,16,12,4,0,12-4-0,8.125,8.0625,0.0625,0.1319796954314721,-0.5625,35.3125,9.0,1.6009752313775634,False,False
HOU,2011,2008-2016,16,10,6,0,10-6-0,8.0625,5.375,2.6875,0.1254863813229572,-0.375,23.8125,6.4375,0.979096029509234,False,False
LAR,2001,1999-2007,16,14,2,0,14-2-0,8.0625,5.125,2.9375,0.1278493557978196,0.625,31.4375,14.375,2.51352590312949,False,True
MIN,2020,2017-2025,16,7,9,0,7-9-0,8.0625,6.8125,1.25,0.12585365853658537,0.0625,26.875,-2.8125,-0.4303545442811484,False,False
PHI,2022,2017-2025,17,14,3,0,14-3-0,8.058823529411764,5.647058823529412,2.411764705882353,0.12398190045248869,-0.47058823529411764,28.058823529411764,7.823529411764706,1.9742176728368264,False,True
DAL,2019,2017-2025,16,8,8,0,8-8-0,8.0,6.3125,1.6875,0.12064090480678605,0.0625,27.125,7.0625,0.9457918095772472,False,False
KC,2020,2017-2025,16,14,2,0,14-2-0,7.875,5.75,2.125,0.12092130518234165,-0.375,29.5625,6.9375,1.1504077418391785,False,True
NO,2017,2017-2025,16,11,5,0,11-5-0,7.875,6.375,1.5,0.12883435582822086,-0.4375,28.0,7.625,1.3423867230341888,False,False
SF,2019,2017-2025,16,13,3,0,13-3-0,7.875,5.0625,2.8125,0.12650602409638553,-0.25,29.9375,10.5625,1.7875097359771954,False,True
GB,2014,2008-2016,16,12,4,0,12-4-0,7.875,6.3125,1.5625,0.12830957230142567,-0.875,30.375,8.625,1.2330393708209624,False,False
NO,2011,2008-2016,16,13,3,0,13-3-0,7.8125,6.375,1.4375,0.11220825852782765,0.1875,34.1875,13.0,1.8123022651953469,False,False
MIN,2004,1999-2007,16,8,8,0,8-8-0,7.8125,6.6875,1.125,0.12833675564681724,-0.0625,25.3125,0.625,-0.0258545154645279,False,False
